"0","("
"0","  db00n <- fixt06 %>% "
"0","    select("
"0","      V1, V4, V5"
"0","    ) %>% "
"0","    rename("
"0","      gameweek = V1,"
"0","      home = V4,"
"0","      away = V5"
"0","    ) %>% "
"0","    left_join("
"0","      db00l, by = c(""away"" = ""team"")"
"0","    ) %>% "
"0","    select(-difficulty_scaled, -n) %>% "
"0","    rename(hometeam_dr = difficulty_rating) %>% "
"0","    left_join("
"0","      db00l, by = c(""home"" = ""team"")"
"0","    ) %>% "
"0","    rename(awayteam_dr = difficulty_rating) %>% "
"0","    select(-difficulty_scaled, -n)"
"0",")"
